Name,Latitude,Longitude,,keyword,
여수고가교,37.42744811,127.1292812,,,
여의도JC,37.52089678,126.9270448,,,
여주IC,37.2528496,127.6535734,,,
여주JC,37.23203663,127.5902803,,,
연경TG,35.93621994,128.6114212,,,
연무IC,36.1475956,127.0603364,,,
연성IC,37.38852212,126.7979376,,,
연수JC,37.40944689,126.6295227,,,
연풍IC,36.75903635,127.9923819,,,
연화산IC,35.08251083,128.1913242,,,
영광IC,35.29903711,126.5576456,,,
영덕IC,36.38522898,129.3708896,,,
영동IC,36.26880475,127.834128,,,
영동고속국도시점,0,0,,,서창IC도착강릉JC
영락IC,35.27536846,129.1085638,,,
영산IC,35.45432635,128.5109018,,,
영양IC,36.49392649,129.1222366,,,
영종IC,37.4753489,126.5059759,,,
영주IC,36.76924457,128.5715488,,,
영천IC,35.9223816,128.951449,,,
영천JC,35.91892663,129.0055776,,,
영천JCT,35.91892663,129.0055776,,,
예산수덕IC,36.67716158,126.7753445,,예산수덕사IC,
예천IC,36.66785199,128.5418398,,,
오산IC,37.14345171,127.0841923,,,
오성IC,37.01130521,126.9938785,,,
오수IC,35.55392148,127.3214289,,,
오창IC,36.71467526,127.4426963,,,
오창JC,36.74121474,127.4635713,,,
옥계IC,37.61917873,129.0374789,,,
옥곡IC,34.98599553,127.7094938,,,
옥과IC,35.25899786,127.1137455,,,
옥련IC,37.42511417,126.6366353,,,
옥산IC,36.65378602,127.3727836,,,
옥산JC,36.71349514,127.3488064,,,
옥정IC,37.83531194,127.1084148,,,
옥천IC,36.3169855,127.5578189,,,
옥포JC,35.79272306,128.4636728,,,
온양IC,35.41368653,129.2606255,,,
완주IC,35.89868228,127.151238,,,
완주JC,35.88371333,127.1733323,,,
왜관IC,35.97732693,128.4323331,,,
용봉IC,35.18418983,126.8999881,,,
용인IC,37.2567059,127.2097088,,,
운수IC,35.15959164,126.7823196,,,
운중터널남측,37.38598062,127.0511316,,운중터널,
운중터널북측,37.38598062,127.0511316,,운중터널,
울산IC,35.55275432,129.2597395,,,
울산JCT,35.56657203,129.1299897,,,
울산TG,35.55790602,129.2494659,,,
울주JC,35.50234685,129.2584626,,,
울주JCT,35.56657203,129.1299897,,,
원주IC,37.40099307,127.950321,,,
원주JC,37.38720794,127.9312945,,,
월곶JC,37.38766602,126.7532414,,,
월롱IC,37.79545818,126.7857303,,,
유구IC,36.56511779,126.9756021,,,
유성IC,36.36419942,127.3311203,,,
유성JC,36.3891296,127.3400491,,,
유천Hi,36.3164144,127.3911034,,,
율암IC,35.88328317,128.7029397,,,
율암TG,35.88833246,128.7022837,,,
음성IC,36.98887092,127.6193802,,,
의성IC,36.29207306,128.5807334,,,
의정부IC,37.69329203,127.0548227,,,
이천IC,37.24526128,127.4965891,,,
익산IC,35.9908159,127.1139661,,,
익산JC,35.94302027,127.0898652,,,
인제IC,37.91414301,128.2885011,,,
인제터널,38.04847861,128.1598298,,,
인천TG,37.52402911,126.7483675,,,
인천공항TG,37.5698501,126.6681214,,,
인천김포민자고속도로시점,0,0,,,남항교차로  서김포통진IC
인천대교TG,37.47013794,126.5130279,,,
인천시점,37.63771427,126.4824338,,,
일로IC,34.85794341,126.4811807,,,
일산IC,37.63619031,126.8046874,,,
일죽IC,37.09041126,127.451396,,,
일직JC,37.42378777,126.8948339,,,
임고Hi,35.96564461,128.9392534,,,
임실IC,35.63095046,127.3155592,,,
자유로IC,37.61763077,126.798701,,,
잠원IC,37.50975388,127.0160563,,,
장성IC,35.28553266,126.7869627,,,
장성JC,35.32995119,126.8044572,,,
장성물류IC,35.35021964,126.7618727,,,
장수IC,37.46681041,126.7546003,,,
장수JC,35.73182464,127.6071328,,,
장안IC,35.32757335,129.236462,,,
장유IC,35.19723387,128.8083421,,,
장지IC,37.40342915,127.2367266,,,
장흥IC,34.70824325,126.9062558,,,
전주IC,35.87846861,127.0553123,,,
점촌함창IC,36.58613238,128.1548833,,,
정남IC,37.18493386,126.9707778,,,
정안IC,36.62496027,127.1204245,,,
정왕IC,37.38012483,126.7310908,,,
정읍IC,35.58075774,126.8330732,,,
제천IC,37.13316679,128.1425714,,,
제천JC,37.08006881,128.1749532,,,
조남JC,37.36879598,126.8689275,,,
조안IC,37.53263244,127.3021121,,,
조암IC,37.11872551,126.8184018,,,
조양IC,37.75714355,127.7837497,,,
종점(순천시해룡면성산리),0,0,,,해룡IC
주암IC,35.06696194,127.2705729,,,
줄포IC,35.59674336,126.6965105,,,
중동IC,37.50612016,126.7480657,,,
중랑IC,37.61123807,127.1145988,,,
중앙고속국도종점,0,0,,,
중앙탑Hi,37.02110036,127.8380067,,중앙탑하이패스IC,
증평IC,36.77166392,127.5020484,,,
지곡IC,35.58702265,127.7694695,,,
지리산IC,35.48412408,127.5891539,,,
지수IC,35.22611237,128.2720853,,,
지천IC,35.93441604,128.5322114,,,
진교IC,35.04119884,127.9050225,,,
진례IC,35.2610677,128.7554722,,,
진례JC,35.22957141,128.773834,,,
진부IC,37.652168,128.5624289,,,
진성IC,35.19194262,128.2256464,,,
진안IC,35.77224124,127.4435576,,,
진영IC,35.29974186,128.767221,,,
진영JC,35.27894076,128.719815,,,
진월IC,34.98020319,127.7482643,,,
